DATE,V2TX,V6I1,V6I2
1999-07-09,20.7281,21.4116,20.6709
1999-07-12,21.0405,25.6824,20.8722
1999-07-13,22.4763,27.5181,22.3586
1999-07-14,22.5393,28.5863,22.46
1999-07-15,20.1082,,21.433
1999-07-16,19.7668,,20.8404
1999-07-19,19.9218,20.3498,23.4716
1999-07-20,21.8327,22.0277,25.3731
1999-07-21,24.2567,24.2007,27.5279
1999-07-22,25.2919,25.036,27.9606
1999-07-23,25.6214,25.1149,28.3614
1999-07-26,28.2556,27.3347,30.0504
1999-07-27,27.4419,26.1202,29.4391
1999-07-28,26.3391,25.02,27.9473
1999-07-29,28.0028,25.9664,29.9943
1999-07-30,26.896,25.2972,28.2076
1999-08-02,28.0655,26.4761,28.8283
1999-08-03,28.8511,26.8135,29.6619
1999-08-04,29.6537,26.929,30.5467
1999-08-05,32.8816,30.2078,33.6163
1999-08-06,32.1465,29.0473,32.8442
1999-08-09,31.3775,29.6368,31.5912
1999-08-10,32.701,30.5759,32.9047
1999-08-11,32.4776,29.159,32.7163
1999-08-12,29.4095,26.3012,29.5751
1999-08-13,26.0123,22.3859,26.1468
1999-08-16,26.9659,26.1991,26.9719
1999-08-17,26.1797,26.2609,26.1794
1999-08-18,26.6964,28.9523,26.7268
1999-08-19,27.2993,,27.5052
1999-08-20,25.8141,,26.0322
1999-08-23,24.6286,24.76,24.3579
1999-08-24,24.9878,25.4411,24.2426
1999-08-25,23.0672,22.919,23.2569
1999-08-26,22.7808,22.5384,23.0329
1999-08-27,22.3076,21.7357,22.7914
1999-08-30,23.234,23.1366,23.2826
1999-08-31,24.9551,26.4004,24.3251
1999-09-01,24.472,25.0116,24.281
1999-09-02,25.845,27.3714,25.3858
1999-09-03,23.0423,21.9311,23.3002
1999-09-06,22.9409,21.851,23.0753
1999-09-07,23.0444,22.0721,23.1387
1999-09-08,23.0891,21.7831,23.1855
1999-09-09,22.2243,20.6292,22.3108
1999-09-10,21.6421,21.9832,21.6283
1999-09-13,22.717,22.8999,22.7155
1999-09-14,23.6243,27.4301,23.6138
1999-09-15,24.7157,34.8176,24.7146
1999-09-16,25.1277,,25.1274
1999-09-17,23.8429,,23.7559
1999-09-20,23.8031,23.5953,24.2864
1999-09-21,25.3996,25.406,25.3876
1999-09-22,25.8222,25.9316,25.6555
1999-09-23,25.0303,24.9433,25.1385
1999-09-24,27.1255,27.5966,26.6268
1999-09-27,26.3027,26.4113,26.2344
1999-09-28,26.9086,27.0389,26.8389
1999-09-29,27.8488,28.3619,27.613
1999-09-30,27.8471,28.1802,27.7176
1999-10-01,27.8705,28.6407,27.6143
1999-10-04,26.5893,26.6631,26.575
1999-10-05,26.3157,26.1986,26.3343
1999-10-06,25.2768,24.9183,25.3231
1999-10-07,23.4953,22.3372,23.613
1999-10-08,23.1659,22.6648,23.2066
1999-10-11,22.6819,23.5499,22.6531
1999-10-12,23.4701,25.6989,23.4212
1999-10-13,24.7145,31.4401,24.6261
1999-10-14,24.0129,,25.2403
1999-10-15,27.1818,,28.139
1999-10-18,29.4296,29.7224,31.9512
1999-10-19,25.9996,26.1408,28.6338
1999-10-20,25.4943,25.4547,27.8569
1999-10-21,25.9541,25.7467,28.142
1999-10-22,23.4008,23.0067,25.5517
1999-10-25,25.2749,24.6405,26.5244
1999-10-26,24.3652,23.6407,25.485
1999-10-27,24.7645,23.7918,25.9643
1999-10-28,22.0081,20.9591,23.0591
1999-10-29,21.9392,21.1109,22.6322
1999-11-01,21.8553,20.8715,22.3316
1999-11-02,22.0428,20.9696,22.4765
1999-11-03,22.3514,21.4601,22.654
1999-11-04,21.8141,20.5858,22.1571
1999-11-05,20.8933,19.2493,21.2676
1999-11-08,21.332,19.8773,21.5093
1999-11-09,21.2722,19.7413,21.4183
1999-11-10,21.2203,20.0619,21.3059
1999-11-11,20.9458,19.2344,21.0382
1999-11-12,20.78,19.7987,20.8182
1999-11-15,21.6098,22.9661,21.5986
1999-11-16,21.1132,24.5176,21.1038
1999-11-17,21.2685,24.7169,21.234
1999-11-18,20.5132,,20.2782
1999-11-19,20.1544,,19.7218
1999-11-22,22.501,21.9536,23.7426
1999-11-23,22.816,22.2482,23.8404
1999-11-24,22.801,22.0963,23.8284
1999-11-25,21.7842,20.8297,22.9193
1999-11-26,22.0031,20.9007,23.0938
1999-11-29,23.0575,21.7436,23.8444
1999-11-30,23.4039,22.286,23.9786
1999-12-01,23.6672,22.1602,24.3197
1999-12-02,23.5439,21.8919,24.1502
1999-12-03,22.425,20.2536,23.0899
1999-12-06,22.9538,21.3188,23.2561
1999-12-07,23.6904,22.0652,23.9392
1999-12-08,23.5967,22.6967,23.7112
1999-12-09,23.9505,22.3667,24.1098
1999-12-10,25.1937,24.3729,25.2599
1999-12-13,25.8074,26.4484,25.7863
1999-12-14,26.6982,27.6644,26.6776
1999-12-15,28.2257,30.3639,28.2001
1999-12-16,29.6028,,29.0679
1999-12-17,29.4312,,29.015
1999-12-20,28.9298,28.8081,27.8232
1999-12-21,29.4158,29.3613,28.3301
1999-12-22,28.4172,28.424,27.9884
1999-12-23,28.9967,29.0452,28.4549
1999-12-27,31.9852,32.7979,30.2562
1999-12-28,31.867,32.7908,30.3257
1999-12-29,31.5221,32.5899,30.0903
1999-12-30,31.1018,32.3806,29.6985
2000-01-03,30.9845,32.2003,30.3575
2000-01-04,33.2225,35.0483,32.4283
2000-01-05,32.5944,35.1717,31.6464
2000-01-06,31.1811,33.4803,30.4829
2000-01-07,27.4407,28.9179,27.0756
2000-01-10,27.3711,28.9649,27.1624
2000-01-11,27.9619,29.4209,27.8127
2000-01-12,28.6067,30.7273,28.439
2000-01-13,28.0491,30.0857,27.9299
2000-01-14,25.4786,26.8035,25.4242
2000-01-17,25.9901,31.6851,25.9394
2000-01-18,27.7794,33.2264,27.7641
2000-01-19,28.1277,37.751,28.1239
2000-01-20,27.7616,,27.7724
2000-01-21,28.1958,,28.1675
2000-01-24,28.6632,28.6419,28.7069
2000-01-25,30.0186,30.027,30.0052
2000-01-26,29.4326,29.4716,29.3823
2000-01-27,28.0638,28.1507,27.9721
2000-01-28,29.0238,28.8193,29.1998
2000-01-31,31.9687,32.6417,31.6264
2000-02-01,30.1224,30.6889,29.8823
2000-02-02,29.5014,30.1294,29.2793
2000-02-03,28.9268,30.2447,28.5338
2000-02-04,28.6263,29.6778,28.3691
2000-02-07,29.9433,32.6134,29.5878
2000-02-08,28.5691,31.0409,28.3117
2000-02-09,29.5142,31.9672,29.3192
2000-02-10,30.1312,33.1874,29.9496
2000-02-11,29.1778,32.5752,29.0336
2000-02-14,32.9205,39.6154,32.8613
2000-02-15,33.9884,41.3574,33.9675
2000-02-16,32.5563,42.335,32.6342
2000-02-17,30.9239,,31.3188
2000-02-18,30.3079,,30.9865
2000-02-21,30.9721,32.6419,26.7008
2000-02-22,30.7722,32.6484,26.9936
2000-02-23,29.5958,31.6045,26.3308
2000-02-24,29.5094,31.7154,26.565
2000-02-25,27.092,29.8295,23.9869
2000-02-28,29.0865,32.4289,26.8398
2000-02-29,28.7829,30.8743,27.636
2000-03-01,27.6825,29.6228,26.7837
2000-03-02,24.7261,27.0782,23.7886
2000-03-03,27.5193,27.2949,27.5898
2000-03-06,27.7329,28.3113,27.6247
2000-03-07,28.4641,29.4486,28.3115
2000-03-08,29.5076,30.7897,29.3456
2000-03-09,29.2994,30.2542,29.2037
2000-03-10,28.231,27.9698,28.251
